HUNDRED,STREET,FROM,TO,CITY COUNCIL DISTRICT,POTHOLES,DITCHES,EMERGENCY UTILITY WORK,ROADWAY RESURFACING RATING,PAVING PROGRAM,,,
7300,BUSTLETON AVE,COTTMAN AVE,BLEIGH AVE,10,7,5,1,100,PENNDOT,,,
7400,BUSTLETON AVE,VISTA ST,SHELMIRE AVE,10,0,0,0,100,PENNDOT,,,
7400,BUSTLETON AVE,BLEIGH AVE,VISTA ST,10,2,1,0,100,PENNDOT,,,
7500,BUSTLETON AVE,FAUNCE ST,AFTON ST,10,1,0,0,100,PENNDOT,,,
7500,BUSTLETON AVE,SHELMIRE AVE,OAKMONT ST,10,1,0,0,100,PENNDOT,,,
7500,BUSTLETON AVE,OAKMONT ST,FAUNCE ST,10,0,0,0,100,PennDOT,,,
7600,BUSTLETON AVE,AFTON ST,NAPFLE AVE,10,2,0,0,100,PENNDOT,,,
7700,BUSTLETON AVE,LANSING ST,HARTEL AVE,10,0,0,0,100,PENNDOT,,,
7700,BUSTLETON AVE,NAPFLE AVE,LANSING ST,10,2,0,0,100,PENNDOT,,,
7800,BUSTLETON AVE,HARTEL AVE,BORBECK AVE,10,4,0,0,100,PENNDOT,,,
7900,BUSTLETON AVE,BORBECK AVE,GRIFFITH ST,10,4,0,0,100,PennDOT,,,
7900,BUSTLETON AVE,LONEY ST,RHAWN ST,10,4,0,0,100,PENNDOT,,,
7900,BUSTLETON AVE,GRIFFITH ST,LONEY ST,10,0,0,0,100,PENNDOT,,,
8000,BUSTLETON AVE,HORROCKS ST,FULLER ST,10,1,0,1,100,PENNDOT,,,
8000,BUSTLETON AVE,FULLER ST,STANWOOD ST,10,1,0,0,100,PENNDOT,,,
8100,BUSTLETON AVE,STANWOOD ST,LARGE ST,10,6,0,3,100,PENNDOT,,,
8200,BUSTLETON AVE,LARGE ST,EMERSON ST,10,2,0,0,100,PennDOT,,,
8200,BUSTLETON AVE,STRAHLE ST,FOX CHASE RD,10,1,0,0,100,PENNDOT,,,
8200,BUSTLETON AVE,EMERSON ST,HOFFNAGLE ST,10,2,0,0,100,PENNDOT,,,
8200,BUSTLETON AVE,BENSON ST,STRAHLE ST,10,4,0,0,100,PENNDOT,,,
8200,BUSTLETON AVE,HOFFNAGLE ST,BENSON ST,10,0,0,0,100,PENNDOT,,,
