HUNDRED,STREET,FROM,TO,CITY COUNCIL DISTRICT,POTHOLES,DITCHES,EMERGENCY UTILITY WORK,ROADWAY RESURFACING RATING,PAVING PROGRAM,,,
200,DELMAR ST,MANSION ST,SILVERWOOD ST,4,3,4,4,52,CITY LOCAL,,,
300,DELMAR ST,TIBBEN ST,PECHIN ST,4,1,7,0,51,CITY LOCAL,,,
300,DELMAR ST,SILVERWOOD ST,TIBBEN ST,4,0,0,0,57,CITY LOCAL,,,
400,DELMAR ST,PECHIN ST,RIDGE AVE,4,9,0,2,57,CITY LOCAL,,,
8800,DEWEES ST,SPERRY ST,MAXWELL ST,6,2,0,5,57,CITY LOCAL,,,
8800,DEWEES ST,WINCHESTER AVE,SPERRY ST,6,4,0,0,57,CITY LOCAL,,,
8900,DEWEES ST,BROUS AVE,REVERE ST,6,2,0,0,57,CITY LOCAL,,,
8900,DEWEES ST,REVERE ST,WELSH RD,6,0,0,0,78,CITY LOCAL,,,
8900,DEWEES ST,MAXWELL ST,BROUS AVE,6,3,0,0,57,CITY LOCAL,,,
4300,DEXTER ST,MONASTERY AVE,LYCEUM AVE,4,2,0,0,57,CITY LOCAL,,,
0,DICKINSON ST,S WATER ST,S FRONT ST,1,0,0,0,78,CITY LOCAL,,,
0,DICKINSON ST,S CHRISTOPHER COLUM- BUS BLVD,S WATER ST,1,1,0,0,90,CITY LOCAL,,,
700,DICKINSON ST,S 7TH ST,S BEULAH ST,1,2,13,2,100,CITY LOCAL,,,
3300,DICKINSON ST,S 33RD ST,SCHUYLKILL EXPY RAMP A,2,2,0,0,98,CITY LOCAL,,,
0,DOCK ST,S FRONT ST,38TH PARALLEL PL,1,0,0,0,93,CITY FAM,,,
0,DOCK ST,S CHRISTOPHER COLUM- BUS BLVD,S FRONT ST,1,1,0,0,48,CITY FAM,,,
100,DOCK ST,38TH PARALLEL PL,S 2ND ST,1,1,0,0,78,CITY FAM,,,
200,DOCK ST,THOMAS PAINE PL,WALNUT ST,1,0,0,0,78,CITY FAM,,,
200,DOCK ST,S 2ND ST,THOMAS PAINE PL,1,0,2,0,78,CITY FAM,,,
0,DOMINO LN,RIDGE AVE,MATTHIAS ST,4,5,0,0,81,CITY FAM,,,
300,DOMINO LN,UMBRIA ST,FOWLER ST,4,44,1,0,86,CITY FAM,,,
400,DOMINO LN,FOWLER ST,RIDGE AVE,4,19,0,0,44,CITY FAM,,,
500,DOMINO LN,RIDGE AVE,MATTHIAS ST,4,4,0,0,85,CITY FAM,,,
500,DOMINO LN,MATTHIAS ST,SHALKOP ST,4,0,0,0,89,CITY FAM,,,
500,DOMINO LN,SHALKOP ST,VALLEY AVE,4,5,0,2,65,CITY FAM,,,
2100,DREER ST,TRENTON AVE,BLAIR ST,1,0,3,0,57,CITY LOCAL,,,
500,DUPONT ST,RIDGE AVE,LAWNTON ST,4,18,7,7,59,CITY LOCAL,,,
600,DUPONT ST,LAWNTON ST,HENRY AVE,4,7,0,0,58,CITY LOCAL,,,
1200,DYRE ST,OXFORD AVE,OAKLAND ST,7,0,0,0,58,CITY LOCAL,,,
1300,DYRE ST,AKRON ST,SAUL ST,7,1,0,0,57,CITY LOCAL,,,
1300,DYRE ST,LEIPER ST,N PENN ST,7,0,0,9,81,CITY LOCAL,,,
1300,DYRE ST,SAUL ST,LEIPER ST,7,8,19,2,45,CITY LOCAL,,,
1300,DYRE ST,OAKLAND ST,AKRON ST,7,0,0,0,29,CITY LOCAL,,,
1400,DYRE ST,N PENN ST,GRISCOM ST,7,1,0,1,74,CITY LOCAL,,,
1500,DYRE ST,GRISCOM ST,FRANKFORD AVE,7,0,0,1,75,CITY LOCAL,,,
100,E ALLEGHENY AVE,N LEE ST,A ST,7,3,2,1,100,PENNDOT,,,
100,E ALLEGHENY AVE,W ALLEGHENY AVE,N LEE ST,7,0,0,0,100,PENNDOT,,,
200,E ALLEGHENY AVE,KIP ST,B ST,7,0,0,0,100,PENNDOT,,,
200,E ALLEGHENY AVE,A ST,ELLA ST,7,2,0,0,100,PENNDOT,,,
200,E ALLEGHENY AVE,ELLA ST,KIP ST,7,0,0,0,100,PENNDOT,,,
300,E ALLEGHENY AVE,B ST,ROSEHILL ST,7,0,0,0,100,PENNDOT,,,
300,E ALLEGHENY AVE,ROSEHILL ST,ROSEHILL ST,7,0,0,0,100,PENNDOT,,,
300,E ALLEGHENY AVE,ROSEHILL ST,C ST,7,0,0,0,100,PENNDOT,,,
400,E ALLEGHENY AVE,C ST,ARBOR ST,7,0,0,0,100,PENNDOT,,,
400,E ALLEGHENY AVE,BOUDINOT ST,HURLEY ST,7,0,0,0,100,PENNDOT,,,
400,E ALLEGHENY AVE,ARBOR ST,BOUDINOT ST,7,0,0,1,100,PENNDOT,,,
400,E ALLEGHENY AVE,HURLEY ST,D ST,7,0,0,0,100,PENNDOT,,,
500,E ALLEGHENY AVE,D ST,RORER ST,7,0,2,0,100,PENNDOT,,,
500,E ALLEGHENY AVE,RORER ST,HARTVILLE ST,7,0,0,0,100,PENNDOT,,,
500,E ALLEGHENY AVE,HARTVILLE ST,E ST,7,0,4,2,100,PENNDOT,,,
600,E ALLEGHENY AVE,E ST,TAMPA ST,7,0,2,0,100,PENNDOT,,,
600,E ALLEGHENY AVE,TAMPA ST,F ST,7,0,0,0,100,PENNDOT,,,
700,E ALLEGHENY AVE,REACH ST,G ST,7,0,0,1,100,PENNDOT,,,
700,E ALLEGHENY AVE,WEYMOUTH ST,CUSTER ST,7,0,0,1,100,PENNDOT,,,
700,E ALLEGHENY AVE,CUSTER ST,REACH ST,7,0,4,0,100,PENNDOT,,,
700,E ALLEGHENY AVE,F ST,WEYMOUTH ST,7,0,0,0,100,PENNDOT,,,
800,E ALLEGHENY AVE,POTTER ST,SHELBOURNE ST,7,0,0,0,100,PENNDOT,,,
800,E ALLEGHENY AVE,G ST,POTTER ST,7,0,0,0,100,PENNDOT,,,
800,E ALLEGHENY AVE,SHELBOURNE ST,KENSINGTON AVE,7,1,1,0,100,PENNDOT,,,
1800,E ALLEGHENY AVE,KENSINGTON AVE,JASPER ST,1,3,1,0,100,PENNDOT,,,
1900,E ALLEGHENY AVE,JASPER ST,EMERALD ST,1,0,0,1,100,PENNDOT,,,
2000,E ALLEGHENY AVE,FRANKFORD AVE,AMBER ST,1,0,2,1,100,PENNDOT,,,
2000,E ALLEGHENY AVE,EMERALD ST,FRANKFORD AVE,1,3,2,0,100,PENNDOT,,,
2100,E ALLEGHENY AVE,COLLINS ST,WITTE ST,1,0,2,0,100,PENNDOT,,,
2100,E ALLEGHENY AVE,AMBER ST,COLLINS ST,1,1,1,0,100,PENNDOT,,,
2100,E ALLEGHENY AVE,AMBER ST,AMBER ST,1,0,0,0,100,PENNDOT,,,
2200,E ALLEGHENY AVE,WITTE ST,JANNEY ST,1,1,0,0,100,PENNDOT,,,
2200,E ALLEGHENY AVE,JANNEY ST,WEIKEL ST,1,0,0,0,100,PENNDOT,,,
2300,E ALLEGHENY AVE,ARAMINGO AVE,CEDAR ST,1,0,0,0,100,PENNDOT,,,
2300,E ALLEGHENY AVE,AGATE ST,MEMPHIS ST,1,0,0,0,100,PENNDOT,,,
2300,E ALLEGHENY AVE,MEMPHIS ST,ARAMINGO AVE,1,0,0,0,100,PENNDOT,,,
2300,E ALLEGHENY AVE,TULIP ST,AGATE ST,1,1,0,0,100,PENNDOT,,,
2400,E ALLEGHENY AVE,CEDAR ST,CHATHAM ST,1,1,0,0,100,PENNDOT,,,
2400,E ALLEGHENY AVE,CHATHAM ST,GAUL ST,1,0,1,0,100,PENNDOT,,,
2500,E ALLEGHENY AVE,MILLER ST,BELGRADE ST,1,0,0,0,100,PENNDOT,,,
2500,E ALLEGHENY AVE,BELGRADE ST,LIVINGSTON ST,1,0,0,0,100,PENNDOT,,,
2500,E ALLEGHENY AVE,LIVINGSTON ST,ALMOND ST,1,0,0,0,100,PENNDOT,,,
2500,E ALLEGHENY AVE,GAUL ST,MILLER ST,1,0,0,0,100,PENNDOT,,,
2600,E ALLEGHENY AVE,ALMOND ST,MERCER ST,1,0,1,0,100,PENNDOT,,,
2600,E ALLEGHENY AVE,E THOMPSON ST,EDGEMONT ST,1,0,3,0,100,PENNDOT,,,
2600,E ALLEGHENY AVE,MERCER ST,E THOMPSON ST,1,0,0,0,100,PENNDOT,,,
2700,E ALLEGHENY AVE,EMERY ST,RICHMOND ST,1,0,0,0,100,PENNDOT,,,
2700,E ALLEGHENY AVE,EDGEMONT ST,TILTON ST,1,0,0,0,100,PENNDOT,,,
2700,E ALLEGHENY AVE,SALMON ST,EMERY ST,1,0,0,0,100,PENNDOT,,,
2700,E ALLEGHENY AVE,TILTON ST,SALMON ST,1,0,0,0,100,PENNDOT,,,
2800,E ALLEGHENY AVE,RICHMOND ST,DELAWARE EXPY RAMP B,1,1,0,0,100,PENNDOT,,,
2800,E ALLEGHENY AVE,MELVALE ST,BATH ST,1,0,0,0,90,PENNDOT,,,
2800,E ALLEGHENY AVE,DELAWARE EXPY RAMP B,MELVALE ST,1,0,0,0,100,PENNDOT,,,
2900,E ALLEGHENY AVE,BATH ST,N DELAWARE AVE,1,1,0,0,100,PENNDOT,,,
1300,E CHELTENHAM AVE,RUTLAND ST,LARGE ST,7,1,0,0,57,CITY LOCAL,,,
1300,E CHELTENHAM AVE,OXFORD CIR,RUTLAND ST,7,0,0,0,70,CITY LOCAL,,,
1400,E CHELTENHAM AVE,LARGE ST,HORROCKS ST,7,3,6,0,58,CITY LOCAL,,,
1500,E CHELTENHAM AVE,HORROCKS ST,DISCHER ST,7,3,0,1,70,CITY LOCAL,,,
1500,E CHELTENHAM AVE,SYLVESTER ST,OAKLAND ST,7,0,0,3,70,CITY LOCAL,,,
1500,E CHELTENHAM AVE,SYLVESTER ST,SYLVESTER ST,7,1,0,0,81,CITY LOCAL,,,
1500,E CHELTENHAM AVE,DISCHER ST,SYLVESTER ST,7,1,0,0,81,CITY LOCAL,,,
4000,E CHELTENHAM AVE,FRANKFORD AVE,HAWTHORNE ST,6,7,0,0,50,CITY LOCAL,,,
4000,E CHELTENHAM AVE,HAWTHORNE ST,CHARLES ST,6,3,2,0,76,CITY LOCAL,,,
2300,E CLEARFIELD ST,ARAMINGO AVE,CEDAR ST,1,1,0,0,83,CITY LOCAL,,,
2400,E CLEARFIELD ST,CHATHAM ST,GAUL ST,1,0,0,0,89,CITY LOCAL,,,
2400,E CLEARFIELD ST,CEDAR ST,CHATHAM ST,1,0,0,2,89,CITY LOCAL,,,
2500,E CLEARFIELD ST,MILLER ST,BELGRADE ST,1,0,14,0,89,CITY LOCAL,,,
2500,E CLEARFIELD ST,MILLER ST,MILLER ST,1,0,0,0,89,CITY LOCAL,,,
2500,E CLEARFIELD ST,BELGRADE ST,LIVINGSTON ST,1,0,0,0,100,CITY LOCAL,,,
2500,E CLEARFIELD ST,LIVINGSTON ST,ALMOND ST,1,0,0,0,100,CITY LOCAL,,,
2500,E CLEARFIELD ST,GAUL ST,MILLER ST,1,0,0,0,89,CITY LOCAL,,,
2600,E CLEARFIELD ST,MERCER ST,E THOMPSON ST,1,1,1,0,100,CITY LOCAL,,,
2600,E CLEARFIELD ST,ALMOND ST,MERCER ST,1,1,1,0,100,CITY LOCAL,,,
2600,E CLEARFIELD ST,E THOMPSON ST,EDGEMONT ST,1,0,0,0,100,CITY LOCAL,,,
2700,E CLEARFIELD ST,EDGEMONT ST,TILTON ST,1,0,0,0,57,CITY LOCAL,,,
2700,E CLEARFIELD ST,SALMON ST,EMERY ST,1,0,0,2,57,CITY LOCAL,,,
2700,E CLEARFIELD ST,EMERY ST,RICHMOND ST,1,2,1,7,57,CITY LOCAL,,,
2700,E CLEARFIELD ST,TILTON ST,SALMON ST,1,0,0,1,73,CITY LOCAL,,,
1200,E COLONA ST,MOYER ST,E THOMPSON ST,5,3,0,4,51,CITY LOCAL,,,
1500,E HEWSON ST,GAUL ST,CEDAR ST,5,2,6,0,51,CITY LOCAL,,,
1500,E HEWSON ST,CEDAR ST,MEMPHIS ST,5,0,8,0,52,CITY LOCAL,,,
1600,E HEWSON ST,TULIP ST,SEPVIVA ST,5,0,3,0,56,CITY LOCAL,,,
1600,E HEWSON ST,MEMPHIS ST,TULIP ST,5,5,14,1,51,CITY LOCAL,,,
100,E LEHIGH AVE,N FRONT ST,A ST,7,3,0,0,89,PENNDOT,,,
200,E LEHIGH AVE,A ST,B ST,7,0,0,0,89,PENNDOT,,,
300,E LEHIGH AVE,B ST,E GURNEY ST,7,2,0,0,89,PENNDOT,,,
300,E LEHIGH AVE,E GURNEY ST,POTTER ST,7,0,0,0,89,PENNDOT,,,
300,E LEHIGH AVE,POTTER ST,KENSINGTON AVE,7,0,0,0,98,PENNDOT,,,
1800,E LEHIGH AVE,KENSINGTON AVE,JASPER ST,1,7,1,1,89,PENNDOT,,,
1900,E LEHIGH AVE,JASPER ST,EMERALD ST,1,1,0,0,89,PENNDOT,,,
2000,E LEHIGH AVE,BRADDOCK ST,FRANKFORD AVE,1,0,1,0,89,PENNDOT,,,
2000,E LEHIGH AVE,EMERALD ST,BRADDOCK ST,1,4,0,0,89,PENNDOT,,,
2000,E LEHIGH AVE,FRANKFORD AVE,AMBER ST,1,0,1,0,88,PENNDOT,,,
2100,E LEHIGH AVE,AMBER ST,COLLINS ST,1,0,1,5,89,PENNDOT,,,
2100,E LEHIGH AVE,MARTHA ST,TRENTON AVE,1,0,1,0,89,PENNDOT,,,
2100,E LEHIGH AVE,COLLINS ST,MARTHA ST,1,0,0,0,89,PENNDOT,,,
2100,E LEHIGH AVE,TRENTON AVE,SEPVIVA ST,1,0,0,0,97,PENNDOT,,,
2200,E LEHIGH AVE,SEPVIVA ST,TULIP ST,1,1,2,2,97,PENNDOT,,,
2300,E LEHIGH AVE,CEDAR ST,ARAMINGO AVE,1,0,0,0,87,PENNDOT,,,
2300,E LEHIGH AVE,MEMPHIS ST,CEDAR ST,1,0,0,0,89,PENNDOT,,,
2300,E LEHIGH AVE,TULIP ST,MEMPHIS ST,1,0,1,0,80,PENNDOT,,,
2400,E LEHIGH AVE,ARAMINGO AVE,GAUL ST,1,0,0,0,100,PENNDOT,,,
2500,E LEHIGH AVE,BELGRADE ST,LIVINGSTON ST,1,1,0,0,100,PENNDOT,,,
2500,E LEHIGH AVE,LIVINGSTON ST,ALMOND ST,1,0,0,0,100,PENNDOT,,,
2500,E LEHIGH AVE,GAUL ST,MILLER ST,1,1,0,5,100,PENNDOT,,,
2500,E LEHIGH AVE,MILLER ST,BELGRADE ST,1,0,3,0,100,PENNDOT,,,
2600,E LEHIGH AVE,E THOMPSON ST,WEBB ST,1,0,0,0,100,PENNDOT,,,
2600,E LEHIGH AVE,MERCER ST,E THOMPSON ST,1,0,0,0,100,PENNDOT,,,
2600,E LEHIGH AVE,ALMOND ST,MERCER ST,1,0,0,0,100,PENNDOT,,,
2600,E LEHIGH AVE,WEBB ST,EDGEMONT ST,1,0,3,1,100,PENNDOT,,,
2700,E LEHIGH AVE,SALMON ST,EMERY ST,1,1,0,0,100,PENNDOT,,,
2700,E LEHIGH AVE,EMERY ST,RICHMOND ST,1,0,0,0,100,PENNDOT,,,
2700,E LEHIGH AVE,EDGEMONT ST,TILTON ST,1,0,0,0,100,PENNDOT,,,
2700,E LEHIGH AVE,TILTON ST,SALMON ST,1,0,0,0,100,PENNDOT,,,
2600,E MAYFIELD ST,E THOMPSON ST,EDGEMONT ST,1,0,0,3,57,CITY LOCAL,,,
1200,E OXFORD ST,E CABOT ST,E THOMPSON ST,5,0,0,0,57,CITY LOCAL,,,
1200,E OXFORD ST,E GIRARD AVE,E CABOT ST,5,1,11,0,52,CITY LOCAL,,,
1200,E PALMER ST,E CABOT ST,E THOMPSON ST,5,0,0,0,52,CITY LOCAL,,,
1200,E PALMER ST,MOYER ST,E CABOT ST,5,3,0,0,65,CITY LOCAL,,,
1200,E PALMER ST,E GIRARD AVE,E FLORA ST,5,2,2,1,90,CITY LOCAL,,,
1200,E PALMER ST,E FLORA ST,MOYER ST,5,0,0,0,51,CITY LOCAL,,,
1300,E PALMER ST,E THOMPSON ST,WILLIG AVE,5,6,0,0,51,CITY LOCAL,,,
1300,E PALMER ST,WILLIG AVE,BELGRADE ST,5,3,0,1,57,CITY LOCAL,,,
1400,E PALMER ST,BELGRADE ST,MEMPHIS ST,5,1,0,1,57,CITY LOCAL,,,
1400,E PALMER ST,MEMPHIS ST,MEMPHIS ST,5,0,0,0,62,CITY LOCAL,,,
1500,E PALMER ST,TULIP ST,SEPVIVA ST,5,2,2,0,73,CITY LOCAL,,,
1500,E PALMER ST,MEMPHIS ST,TULIP ST,5,7,0,0,73,CITY LOCAL,,,
1600,E PALMER ST,SEPVIVA ST,FRANKFORD AVE,5,0,0,0,78,CITY LOCAL,,,
2600,E TORONTO ST,E THOMPSON ST,EDGEMONT ST,1,0,1,0,62,CITY LOCAL,,,
4300,E WINGOHOCKING ST,ADAMS AVE,OAKLAND ST,7,4,6,4,87,CITY LOCAL,,,
4400,E WINGOHOCKING ST,OAKLAND ST,SELLERS ST,7,1,2,8,59,CITY LOCAL,,,
0,E WISTER ST,GERMANTOWN AVE,LENA ST,8,7,5,3,100,CITY FAM,,,
0,E WISTER ST,LENA ST,WAKEFIELD ST,8,1,0,0,100,CITY FAM,,,
200,E WISTER ST,WAKEFIELD ST,BAYNTON ST,8,4,0,0,100,CITY FAM,,,
300,E WISTER ST,SHELDON ST,RUBICAM ST,8,0,0,0,100,CITY FAM,,,
300,E WISTER ST,SHELDON ST,SHELDON ST,8,0,0,0,100,CITY FAM,,,
300,E WISTER ST,BAYNTON ST,SHELDON ST,8,10,3,0,100,CITY FAM,,,
400,E WISTER ST,RUBICAM ST,RUFE ST,8,6,1,0,100,CITY FAM,,,
400,E WISTER ST,RUFE ST,BELFIELD AVE,8,3,0,0,100,CITY FAM,,,
300,EARLHAM TER,PULASKI AVE,MORRIS ST,8,2,2,1,78,CITY LOCAL,,,
400,EARLHAM TER,ARCHER ST,LAURENS ST,8,0,0,1,57,CITY LOCAL,,,
3600,EARP ST,S 36TH ST,SCHUYLKILL AVE,2,2,5,0,78,CITY LOCAL,,,
2700,EDGEMONT ST,E SELTZER ST,E SOMERSET ST,1,0,2,0,78,CITY LOCAL,,,
2800,EDGEMONT ST,E SOMERSET ST,E AUBURN ST,1,1,2,3,57,CITY LOCAL,,,
2800,EDGEMONT ST,E AUBURN ST,E CAMBRIA ST,1,0,0,0,75,CITY LOCAL,,,
2900,EDGEMONT ST,E TORONTO ST,E INDIANA AVE,1,0,8,3,89,CITY LOCAL,,,
2900,EDGEMONT ST,E ANN ST,E MAYFIELD ST,1,0,0,0,78,CITY LOCAL,,,
2900,EDGEMONT ST,E BIRCH ST,E ANN ST,1,0,0,0,51,CITY LOCAL,,,
2900,EDGEMONT ST,E MAYFIELD ST,E TORONTO ST,1,0,0,1,58,CITY LOCAL,,,
2900,EDGEMONT ST,E CAMBRIA ST,E MONMOUTH ST,1,0,1,1,65,CITY LOCAL,,,
2900,EDGEMONT ST,E MONMOUTH ST,E BIRCH ST,1,0,4,0,59,CITY LOCAL,,,
3100,EDGEMONT ST,E CLEMENTINE ST,E ALLEGHENY AVE,1,0,0,2,66,CITY LOCAL,,,
3100,EDGEMONT ST,E CLEARFIELD ST,E CLEMENTINE ST,1,0,0,0,57,CITY LOCAL,,,
4300,ELIZABETH ST,CHURCH ST,UNITY ST,7,0,1,1,57,CITY LOCAL,,,
5100,F ST,E ROOSEVELT BLVD,SMYLIE RD,9,7,2,1,77,CITY LOCAL,,,
5100,F ST,SMYLIE RD,MARLEY RD,9,1,0,1,92,CITY LOCAL,,,
5200,F ST,MARLEY RD,E TABOR RD,9,3,0,3,89,CITY LOCAL,,,
3000,FAIRDALE RD,THORNTON RD,SWEET BRIAR RD,10,1,1,0,89,CITY LOCAL,,,
3100,FAIRDALE RD,SWEET BRIAR RD,ASTER RD,10,0,3,0,89,CITY LOCAL,,,
300,FAIRWAY TER,PECHIN ST,CUL DE SAC WEST,4,1,3,6,78,CITY LOCAL,,,
0,FARRAGUT ST,LUDLOW ST,CHESTNUT ST,3,1,0,0,55,CITY FAM,,,
0,FARRAGUT ST,MARKET ST,LUDLOW ST,3,2,0,0,55,CITY LOCAL,,,
100,FARRAGUT ST,CHESTNUT ST,SANSOM ST,3,1,1,0,78,CITY LOCAL,,,
100,FARRAGUT ST,SANSOM ST,WALNUT ST,3,1,0,0,86,CITY LOCAL,,,
200,FARRAGUT ST,LOCUST ST,SPRUCE ST,3,1,2,3,73,CITY LOCAL,,,
200,FARRAGUT ST,WALNUT ST,LOCUST ST,3,3,0,0,73,CITY LOCAL,,,
900,FARRAGUT TER,BALTIMORE AVE,SPRINGFIELD AVE,3,2,0,0,78,CITY LOCAL,,,
1000,FARRAGUT TER,SPRINGFIELD AVE,CHESTER AVE,3,9,0,0,78,CITY LOCAL,,,
600,FOULKROD ST,ADAMS AVE,TABOR AVE,9,0,2,1,58,CITY LOCAL,,,
200,FOUNTAIN ST,SILVERWOOD ST,TIBBEN ST,4,1,1,2,66,CITY LOCAL,,,
200,FOUNTAIN ST,TIBBEN ST,MANAYUNK AVE,4,0,0,4,70,CITY LOCAL,,,
300,FOUNTAIN ST,PECHIN ST,PECHIN ST,4,2,1,0,70,CITY LOCAL,,,
300,FOUNTAIN ST,MANAYUNK AVE,PECHIN ST,4,10,2,0,70,CITY LOCAL,,,
400,FOUNTAIN ST,PECHIN ST,RIDGE AVE,4,1,0,0,70,CITY LOCAL,,,
4700,FRIENDSHIP ST,TORRESDALE AVE,VANDIKE ST,6,1,0,0,57,CITY LOCAL,,,
4700,FRIENDSHIP ST,VANDIKE ST,HEGERMAN ST,6,0,0,1,57,CITY LOCAL,,,
4800,FRIENDSHIP ST,EDMUND ST,TULIP ST,6,0,0,0,78,CITY LOCAL,,,
4800,FRIENDSHIP ST,HEGERMAN ST,EDMUND ST,6,1,0,0,73,CITY LOCAL,,,
4900,FRIENDSHIP ST,TULIP ST,KEYSTONE ST,6,1,0,5,78,CITY LOCAL,,,
300,GATES ST,MANAYUNK AVE,PECHIN ST,4,1,1,2,57,CITY LOCAL,,,
400,GATES ST,RIDGE AVE,LAWNTON ST,4,6,3,5,70,CITY LOCAL,,,
600,GATES ST,LAWNTON ST,HENRY AVE,4,0,0,0,70,CITY LOCAL,,,
600,GATES ST,HENRY AVE,HENRY AVE,4,0,0,0,80,CITY LOCAL,,,
400,GERHARD ST,MITCHELL ST,RIDGE AVE,4,1,0,0,78,CITY LOCAL,,,
500,GERHARD ST,RIDGE AVE,HOUGHTON ST,4,6,1,1,78,CITY LOCAL,,,
2900,GERRITT ST,S 29TH ST,S 30TH ST,2,1,0,4,73,CITY LOCAL,,,
0,GRANT AVE,NORTHEAST AVE,NORTHEAST AVE,10,1,0,0,100,PennDOT,,,
1300,GRANT AVE,WELSH RD,KREWSTOWN RD,10,9,8,0,100,PennDOT,,,
1500,GRANT AVE,NORTHEAST AVE,WELSH RD,10,5,1,0,100,PENNDOT,,,
1600,GRANT AVE,WELSH RD,BUSTLETON AVE,10,1,0,0,100,PENNDOT,,,
1800,GRANT AVE,BUSTLETON AVE,WISTARIA ST,10,9,0,2,100,PennDOT,,,
2200,GRAYS FERRY AVE,KATER ST,S 23RD ST,2,2,0,0,87,CITY LOCAL,,,
2200,GRAYS FERRY AVE,S 23RD ST,KATER ST,2,3,0,2,93,CITY LOCAL,,,
2300,GRAYS FERRY AVE,S 23RD ST,BAINBRIDGE ST,2,0,1,2,93,CITY LOCAL,,,
2300,GRAYS FERRY AVE,BAINBRIDGE ST,S 24TH ST,2,0,0,0,97,CITY LOCAL,,,
500,GREEN LN,RIDGE AVE,LAWNTON ST,4,3,4,5,59,CITY LOCAL,,,
600,GREEN LN,LAWNTON ST,JANNETTE ST,4,3,0,0,59,CITY LOCAL,,,
6900,GREENHILL RD,CITY AVE,N 70TH ST,4,2,0,0,73,CITY LOCAL,,,
7000,GREENHILL RD,N 70TH ST,N 71ST ST,4,1,0,0,57,CITY LOCAL,,,
1300,GROVE ST,WHARTON ST,REED ST,2,0,2,3,78,CITY LOCAL,,,
200,HANSBERRY ST,WAYNE AVE,NEWHALL ST,8,2,0,0,65,CITY LOCAL,,,
200,HANSBERRY ST,NEWHALL ST,PULASKI AVE,8,0,1,0,65,CITY LOCAL,,,
300,HANSBERRY ST,PULASKI AVE,MORRIS ST,8,6,6,0,70,CITY LOCAL,,,
400,HANSBERRY ST,MORRIS ST,MC KEAN AVE,8,0,0,3,66,CITY LOCAL,,,
400,HANSBERRY ST,MC KEAN AVE,LAURENS ST,8,1,1,0,65,CITY LOCAL,,,
500,HANSBERRY ST,LAURENS ST,SCHUYLER ST,8,2,0,0,65,CITY LOCAL,,,
500,HANSBERRY ST,SCHUYLER ST,WISSAHICKON AVE,8,0,0,0,65,CITY LOCAL,,,
1400,HANSON ST,WOODLAND AVE,SAYBROOK AVE,3,0,0,1,73,CITY LOCAL,,,
1400,HANSON ST,SAYBROOK AVE,PASCHALL AVE,3,0,0,0,73,CITY LOCAL,,,
600,HARRISON ST,DEAD END WEST,TABOR AVE,9,0,0,0,58,CITY LOCAL,,,
700,HARRISON ST,HOWLAND ST,WHITAKER AVE,9,1,0,0,44,CITY LOCAL,,,
700,HARRISON ST,TABOR AVE,CLARIDGE ST,9,0,0,0,58,CITY LOCAL,,,
700,HARRISON ST,CLARIDGE ST,HOWLAND ST,9,0,0,0,70,CITY LOCAL,,,
5000,HERMIT LN,HENRY AVE,HERMIT LN,4,6,0,0,78,CITY LOCAL,,,
5300,HERMIT LN,HERMIT LN,BARNES ST,4,4,0,0,57,CITY LOCAL,,,
5400,HERMIT LN,BARNES ST,HERMIT ST,4,5,0,0,73,CITY LOCAL,,,
500,HERMIT ST,RIGHTER ST,HOUGHTON ST,4,4,1,0,72,CITY LOCAL,,,
600,HERMIT ST,HERMIT LN,HENRY AVE,4,2,0,0,85,CITY LOCAL,,,
600,HERMIT ST,HOUGHTON ST,HERMIT LN,4,2,0,0,78,CITY LOCAL,,,
400,HERMITAGE ST,PECHIN ST,MITCHELL ST,4,0,1,4,71,CITY LOCAL,,,
500,HERMITAGE ST,RIDGE AVE,LAWNTON ST,4,2,1,0,78,CITY LOCAL,,,
600,HERMITAGE ST,LAWNTON ST,HENRY AVE,4,0,0,4,78,CITY LOCAL,,,
1600,HOPE ST,TURNER ST,CECIL B MOORE AVE,7,0,0,0,89,CITY LOCAL,,,
1700,HOPE ST,W PALMER ST,W MONTGOMERY AVE,7,0,1,1,59,CITY LOCAL,,,
1800,HOPE ST,W MONTGOMERY AVE,W BERKS ST,7,2,0,0,57,CITY LOCAL,,,
1400,IMOGENE ST,LEIPER ST,N PENN ST,7,0,2,1,57,CITY LOCAL,,,
0,ISLAND AVE,LINDBERGH BLVD,ISLAND AVE,2,0,0,0,100,CITY FAM,,,
0,ISLAND AVE,TANAGER ST,S 76TH ST,2,2,1,0,100,CITY FAM,,,
0,ISLAND AVE,BUIST AVE,CHELWYNDE AVE,2,1,0,0,100,CITY FAM,,,
0,ISLAND AVE,CHELWYNDE AVE,TANAGER ST,2,0,0,0,100,CITY FAM,,,
0,ISLAND AVE,ISLAND AVE,LINDBERGH BLVD,2,1,0,0,100,CITY FAM,,,
0,ISLAND AVE,LINDBERGH BLVD,LINDBERGH BLVD,2,0,0,0,100,CITY FAM,,,
0,ISLAND AVE,LINDBERGH BLVD,LINDBERGH BLVD,2,0,0,0,100,CITY FAM,,,
0,ISLAND AVE,ISLAND AVE,TANAGER ST,2,0,0,0,100,CITY FAM,,,
0,ISLAND AVE,LINDBERGH BLVD,LINDBERGH BLVD,2,0,0,0,100,CITY FAM,,,
