HUNDRED,ON,FROM,TO,COUNCIL,CONDI- TION_IN- DEX,POTHOLES,DITCHES,PAVING PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,E PASSYUNK AVE,SOUTH ST,BAINBRIDGE ST,1,87,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,E PASSYUNK AVE,WASHINGTON AVE,ELLSWORTH ST,1,100,6,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,E PASSYUNK AVE,ELLSWORTH ST,FEDERAL ST,1,100,1,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,E PASSYUNK AVE,FEDERAL ST,LATONA ST,1,100,6,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,E PASSYUNK AVE,LATONA ST,S 9TH ST,1,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,E PASSYUNK AVE,S 9TH ST,WHARTON ST,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,E PASSYUNK AVE,WHARTON ST,REED ST,1,100,6,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,E PASSYUNK AVE,MORRIS ST,PIERCE ST,1,100,0,10,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,E PASSYUNK AVE,PIERCE ST,MOORE ST,1,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,E PASSYUNK AVE,MOORE ST,SIGEL ST,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,E PASSYUNK AVE,S 13TH ST,MIFFLIN ST,1,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,E PASSYUNK AVE,MIFFLIN ST,S JUNIPER ST,1,100,2,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,E PASSYUNK AVE,S JUNIPER ST,S JUNIPER ST,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,E PASSYUNK AVE,S JUNIPER ST,S BROAD ST,1,100,0,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,E PASSYUNK AVE,LINN ST,S 12TH ST,1,100,5,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,E PHIL ELLENA ST,TEMPLE RD,TEMPLE RD,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,E PHIL ELLENA ST,FAYETTE ST,TEMPLE RD,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,E PHIL ELLENA ST,WILLIAMS AVE,FAYETTE ST,9,100,4,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,E PHIL ELLENA ST,TEMPLE RD,MICHENER AVE,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,E PHIL ELLENA ST,THOURON AVE,FORREST AVE,9,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,E PHIL ELLENA ST,FORREST AVE,WILLIAMS AVE,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,E SUSQUEHANNA AVE,FRANKFORD AVE,SEPVIVA ST,1,100,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,E SUSQUEHANNA AVE,SEPVIVA ST,TULIP ST,1,100,4,5,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,E SUSQUEHANNA AVE,TULIP ST,MEMPHIS ST,1,100,2,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,E SUSQUEHANNA AVE,MEMPHIS ST,CEDAR ST,1,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,E THAYER ST,E ST,F ST,7,73,1,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,E THOMPSON ST,E TIOGA ST,E VENANGO ST,1,44,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,E THOMPSON ST,E SCHILLER ST,E TIOGA ST,1,59,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,E THOMPSON ST,E ONTARIO ST,E SCHILLER ST,1,58,2,8,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,E THOMPSON ST,PICKWICK ST,CASTOR AVE,6,57,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,E THOMPSON ST,E VENANGO ST,PICKWICK ST,6,44,3,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,E VENANGO ST,ARAMINGO AVE,CEDAR ST,1,44,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,E VENANGO ST,CEDAR ST,GAUL ST,1,44,2,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,E VENANGO ST,GAUL ST,MILLER ST,1,58,1,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,E VENANGO ST,MILLER ST,BELGRADE ST,1,44,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,E VENANGO ST,BELGRADE ST,LIVINGSTON ST,1,44,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,E VENANGO ST,LIVINGSTON ST,ALMOND ST,1,44,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,E VENANGO ST,ALMOND ST,MERCER ST,1,57,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,E VENANGO ST,MERCER ST,E THOMPSON ST,1,74,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,E VENANGO ST,E THOMPSON ST,EDGEMONT ST,1,57,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,E VENANGO ST,EDGEMONT ST,SALMON ST,6,44,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,E VENANGO ST,SALMON ST,RICHMOND ST,6,57,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,E WESTMORELAND ST,BRADDOCK ST,JOYCE ST,1,97,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,E WESTMORELAND ST,JOYCE ST,FRANKFORD AVE,1,96,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,E WESTMORELAND ST,FRANKFORD AVE,CORAL ST,1,58,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,E WESTMORELAND ST,CORAL ST,AMBER ST,1,70,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,E WESTMORELAND ST,AMBER ST,COLLINS ST,1,70,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,E WESTMORELAND ST,COLLINS ST,TULIP ST,1,45,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,E WESTMORELAND ST,TULIP ST,AGATE ST,1,70,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,E WESTMORELAND ST,AGATE ST,MEMPHIS ST,1,80,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,E WESTMORELAND ST,MEMPHIS ST,ARAMINGO AVE,1,81,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,E WESTMORELAND ST,ARAMINGO AVE,CEDAR ST,1,70,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,E WESTMORELAND ST,CEDAR ST,CHATHAM ST,1,81,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,E WESTMORELAND ST,CHATHAM ST,GAUL ST,1,80,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,E WESTMORELAND ST,GAUL ST,MILLER ST,1,70,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,E WESTMORELAND ST,MILLER ST,BELGRADE ST,1,81,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,E WESTMORELAND ST,BELGRADE ST,LIVINGSTON ST,1,82,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,E WESTMORELAND ST,LIVINGSTON ST,ALMOND ST,1,70,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,E WESTMORELAND ST,ALMOND ST,MERCER ST,1,82,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,E WESTMORELAND ST,MERCER ST,E THOMPSON ST,1,78,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,E WESTMORELAND ST,E THOMPSON ST,WEBB ST,1,70,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,E WESTMORELAND ST,WEBB ST,WEBB ST,1,70,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,E WESTMORELAND ST,WEBB ST,EDGEMONT ST,1,70,2,7,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,E WESTMORELAND ST,EDGEMONT ST,TILTON ST,6,87,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,E WESTMORELAND ST,TILTON ST,TILTON ST,6,95,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,E WESTMORELAND ST,TILTON ST,SALMON ST,6,95,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,E WESTMORELAND ST,SALMON ST,EMERY ST,6,95,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,E WESTMORELAND ST,EMERY ST,RICHMOND ST,6,91,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,E WESTMORELAND ST,I ST,JASPER ST,1,92,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,E WESTMORELAND ST,JASPER ST,EMERALD ST,1,95,1,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,E WESTMORELAND ST,EMERALD ST,BRADDOCK ST,1,96,1,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,E WILDEY ST,E OXFORD ST,HYDE ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,E WILDEY ST,E PALMER ST,E EYRE ST,1,51,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,E WILDEY ST,EARL ST,E PALMER ST,1,51,1,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,E WILDEY ST,EARL ST,EARL ST,1,52,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,E WILDEY ST,E COLUMBIA AVE,EARL ST,1,65,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,E WILDEY ST,FRANKFORD AVE,SARAH ST,5,50,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,E WILDEY ST,SARAH ST,SHACKAMAXON ST,5,74,4,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,E WILDEY ST,SHACKAMAXON ST,DAY ST,5,57,1,11,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,E WILDEY ST,DAY ST,CREASE ST,5,57,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,E WILDEY ST,CREASE ST,MARLBOROUGH ST,5,78,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,E WILDEY ST,MARLBOROUGH ST,E OXFORD ST,5,52,0,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,E WILDEY ST,HYDE ST,E COLUMBIA AVE,5,78,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,E WILDEY ST,E HEWSON ST,E SUSQUEHANNA AVE,1,66,9,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,E WILDEY ST,E BERKS ST,E HEWSON ST,1,78,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,E WILDEY ST,E WILT ST,E BERKS ST,1,90,0,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,E WILDEY ST,E MONTGOMERY AVE,E WILT ST,1,58,0,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,E WILDEY ST,E EYRE ST,E MONTGOMERY AVE,1,57,0,5,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,E WILT ST,E WILDEY ST,E GIRARD AVE,1,66,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,EARL ST,E WILDEY ST,E GIRARD AVE,1,51,0,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,EARP ST,S 7TH ST,S 8TH ST,1,100,0,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,EARP ST,S 6TH ST,S 7TH ST,1,100,26,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,EDEN ST,LEON ST,FRANKFORD AVE,6,78,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,EDGEMONT ST,E TIOGA ST,E VENANGO ST,1,57,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,EDGEMONT ST,E SCHILLER ST,E TIOGA ST,6,70,0,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,EDGEMONT ST,E ONTARIO ST,E SCHILLER ST,6,64,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,EDGEMONT ST,E WESTMORELAND ST,E ONTARIO ST,1,58,3,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,EDGEMONT ST,PICKWICK ST,CASTOR AVE,6,81,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,EDGEMONT ST,E VENANGO ST,PICKWICK ST,6,51,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,ELBRIDGE ST,NEW STATE RD,TACONY PALMYRA BRIDGE RAMP,6,89,0,1,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,ELBRIDGE ST,TACONY PALMYRA BRIDGE RAMP,BARNETT ST,6,89,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6200,ELLSWORTH ST,S 62ND ST,COBBS CREEK PKWY,3,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100,ELLSWORTH ST,S 61ST ST,S 62ND ST,3,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,ELLSWORTH ST,S 26TH ST,S 27TH ST,2,100,2,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,ELLSWORTH ST,S 27TH ST,GRAYS FERRY AVE,2,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,ELLSWORTH ST,S 25TH ST,S 26TH ST,2,100,2,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300,ELMHURST ST,ROBBINS ST,LEVICK ST,9,100,1,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7300,ELMWOOD AVE,ISLAND AVE,ARDELL ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7300,ELMWOOD AVE,ARDELL ST,MILAN ST,2,100,1,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7300,ELMWOOD AVE,MILAN ST,S 74TH ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,ELMWOOD AVE,S 74TH ST,ASHFORD ST,2,100,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,ELMWOOD AVE,S 75TH ST,CLAYMONT ST,2,100,5,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,ELMWOOD AVE,ARCOLA ST,S 76TH ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7600,ELMWOOD AVE,S 76TH ST,ROSELLA ST,2,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7600,ELMWOOD AVE,ROSELLA ST,ROSELLA PL,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7600,ELMWOOD AVE,ROSELLA PL,ULENA ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7600,ELMWOOD AVE,ULENA ST,S 77TH ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,ELMWOOD AVE,BELLFORD ST,S 75TH ST,2,100,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,ELMWOOD AVE,ASHFORD ST,BELLFORD ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,ELMWOOD AVE,S 74TH ST,S 74TH ST,2,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,ESTE AVE,CLAYMONT ST,S 76TH ST,2,100,0,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,ESTE AVE,S 75TH ST,CLAYMONT ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,FAIRFIELD ST,CONVENT AVE,WESLEYAN RD,6,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,FAIRFIELD ST,WESLEYAN RD,TREMONT ST,6,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,FAIRFIELD ST,TREMONT ST,WILLITS RD,6,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,FAIRMOUNT AVE,N 5TH ST,N 6TH ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,FANSHAWE ST,PENNWAY ST,ALGON AVE,9,100,4,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700,FAYETTE ST,E WEAVER ST,E SHARPNACK ST,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700,FAYETTE ST,E UPSAL ST,E WEAVER ST,9,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7600,FAYETTE ST,LIMEKILN PIKE,E UPSAL ST,9,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7800,FAYETTE ST,E SHARPNACK ST,E PHIL ELLENA ST,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,FAYETTE ST,76TH AVE,LIMEKILN PIKE,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,FAYETTE ST,E JOHNSON ST,76TH AVE,9,100,8,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,FAYETTE ST,E WASHINGTON LN,E JOHNSON ST,9,100,4,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5800,FILBERT ST,N HOBART ST,N 59TH ST,4,100,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5800,FILBERT ST,N 58TH ST,N HOBART ST,4,100,0,8,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900,FILBERT ST,N 59TH ST,N REDFIELD ST,4,100,0,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900,FILBERT ST,N REDFIELD ST,N SALFORD ST,4,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,FISK AVE,DOBSON ST,CRESSON ST,4,100,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,FITLER ST,LEON ST,FRANKFORD AVE,6,78,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,FITZWATER ST,S WATTS ST,S BROAD ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,FITZWATER ST,S JESSUP ST,S MARVINE ST,2,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,FITZWATER ST,S 11TH ST,S JESSUP ST,2,100,5,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,FITZWATER ST,S 12TH ST,S FAWN ST,2,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,FITZWATER ST,S SARTAIN ST,S 12TH ST,2,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,FITZWATER ST,S MARVINE ST,S SARTAIN ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,FITZWATER ST,S 4TH ST,S 5TH ST,1,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,FITZWATER ST,S 3RD ST,S 4TH ST,1,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,FITZWATER ST,S 5TH ST,E PASSYUNK AVE,1,100,1,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,FITZWATER ST,S FAWN ST,S 13TH ST,2,100,0,8,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,FITZWATER ST,S 13TH ST,S JUNIPER ST,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,FITZWATER ST,S JUNIPER ST,S WATTS ST,2,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7600,FORREST AVE,E CLIVEDEN ST,E UPSAL ST,9,100,4,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,FORREST AVE,E JOHNSON ST,E CLIVEDEN ST,9,100,2,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,FORREST AVE,E WASHINGTON LN,E JOHNSON ST,9,100,3,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,FRANKFORD AVE,SHACKAMAXON ST,MERCER ST,5,100,1,8,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,FRANKFORD AVE,W THOMPSON ST,SHACKAMAXON ST,5,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,FRANKFORD AVE,E GIRARD AVE,W THOMPSON ST,5,100,4,17,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,FRANKFORD AVE,E WILDEY ST,W GIRARD AVE,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,FRANKFORD AVE,W WILDEY ST,E WILDEY ST,1,100,0,1,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,FRANKFORD AVE,E ALLEN ST,RICHMOND ST,1,100,0,1,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,FRANKFORD AVE,RICHMOND ST,W WILDEY ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,FRANKFORD AVE,LAUREL ST,MANDERSON ST,1,100,0,2,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,FRANKFORD AVE,MANDERSON ST,E ALLEN ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,FRANKFORD AVE,E WESTMORELAND ST,E ONTARIO ST,1,100,4,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,FRANKFORD AVE,E WILLARD ST,E WESTMORELAND ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,FRANKFORD AVE,E MADISON ST,E WILLARD ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,FRANKFORD AVE,E ALLEGHENY AVE,E MADISON ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,FRANKFORD AVE,E WISHART ST,E ALLEGHENY AVE,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,FRANKFORD AVE,E LIPPINCOTT ST,E WISHART ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,FRANKFORD AVE,E CLEMENTINE ST,E LIPPINCOTT ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
