HUNDRED,ON,FROM,TO,COUNCIL,CONDI- TION_IN- DEX,POTHOLES,DITCHES,PAVING PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,ARAMINGO AVE,E TIOGA ST,E VENANGO ST,1,86,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,ARAMINGO AVE,E ONTARIO ST,E TIOGA ST,1,86,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,ARAMINGO AVE,E WESTMORELAND ST,E ONTARIO ST,1,86,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,ARAMINGO AVE,E WILLARD ST,E WESTMORELAND ST,1,77,1,2,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,ARAMINGO AVE,E MADISON ST,E WILLARD ST,1,77,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,ARAMINGO AVE,E ALLEGHENY AVE,E MADISON ST,1,77,0,1,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,ARAMINGO AVE,E CLEARFIELD ST,E ALLEGHENY AVE,1,97,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,ARAMINGO AVE,E ANN ST,E CLEARFIELD ST,1,97,2,2,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,ARAMINGO AVE,E CAMBRIA ST,E ANN ST,1,97,0,1,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,ARAMINGO AVE,E AUBURN ST,E CAMBRIA ST,1,97,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,ARAMINGO AVE,E SOMERSET ST,E AUBURN ST,1,97,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ARAMINGO AVE,CEDAR ST,ARAMINGO AVE,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,ARAMINGO AVE,ARAMINGO AVE,E SOMERSET ST,1,97,2,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,ARAMINGO AVE,E LEHIGH AVE,ARAMINGO AVE,1,87,3,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,ARAMINGO AVE,E OAKDALE ST,E LEHIGH AVE,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,ARAMINGO AVE,MILLER ST,E OAKDALE ST,1,98,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,ARAMINGO AVE,E HUNTINGDON ST,MILLER ST,1,97,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,ARAMINGO AVE,E CUMBERLAND ST,BELGRADE ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,ARAMINGO AVE,E THOMPSON ST,E CUMBERLAND ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,ARAMINGO AVE,MOYER ST,E THOMPSON ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,ARAMINGO AVE,E YORK ST,MOYER ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,ARAMINGO AVE,E DAUPHIN ST,E YORK ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,ARAMINGO AVE,MOYER ST,E DAUPHIN ST,1,86,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,ARAMINGO AVE,E GIRARD AVE,E NORRIS ST,1,89,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ARAMINGO AVE,ARAMINGO AVE RAMP SPUR A,E YORK ST,1,NULL,0,27,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ARAMINGO AVE,DELAWARE EXPY RAMP C,ARAMINGO AVE RAMP SPUR A,1,NULL,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ARAMINGO AVE,N DELAWARE AVE RAMP SPUR B,ARAMINGO AVE RAMP SPUR A,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ARAMINGO AVE,ARAMINGO AVE,DELAWARE EXPY RAMP C,1,NULL,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ARAMINGO AVE,N DELAWARE AVE,ARAMINGO AVE,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,ARAMINGO AVE,ARAMINGO AVE,DELAWARE EXPY RAMP D,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ARAMINGO AVE,DELAWARE EXPY RAMP D,N DELAWARE AVE RAMP SPUR B,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ARAMINGO AVE,ARAMINGO AVE RAMP SPUR A,E YORK ST,1,100,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3700,ARAMINGO AVE,CASTOR AVE,E BUTLER ST,1,77,1,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,ARAMINGO AVE,E BUTLER ST,WHEATSHEAF LN,1,77,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4600,ARAMINGO AVE,ORTHODOX ST,BERMUDA ST,6,94,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,ARAMINGO AVE,CHURCH ST,DUNCAN ST,6,86,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,ARAMINGO AVE,DELAWARE EXPY RAMP XY,CHURCH ST,6,84,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4600,ARAMINGO AVE,BERMUDA ST,MILNOR ST,6,91,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,ARAMINGO AVE,PEARCE ST,ORTHODOX ST,6,77,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900,ARAMINGO AVE,TACONY ST,WAKELING ST,6,87,1,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,ARAMINGO AVE,MILNOR ST,DELAWARE EXPY RAMP A,6,98,1,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,ARAMINGO AVE,SEPVIVA ST,PEARCE ST,6,74,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,ARAMINGO AVE,WAKELING ST,HARBISON AVE,6,89,4,4,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,ARAMINGO AVE,DUNCAN ST,SEPVIVA ST,6,87,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,ARAMINGO AVE,DELAWARE EXPY RAMP A,TACONY ST,6,87,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,ARAMINGO AVE,WHEATSHEAF LN,ARAMINGO AVE,1,84,1,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,ARAMINGO AVE,ARAMINGO AVE,ASHLAND ST,7,NULL,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,ARAMINGO AVE,DELAWARE EXPY RAMP XY,ASHLAND ST,7,NULL,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,ASHFORD ST,ELMWOOD AVE,BUIST AVE,2,100,1,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7800,BALDWIN ST,E HORTTER ST,E PHIL ELLENA ST,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7800,BALDWIN ST,E SHARPNACK ST,E HORTTER ST,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
